"Word","Sentiment","ScoreMixed","ScoreNegative","ScoreNeutral","ScorePositive"
"adorable","POSITIVE","0.008109045","0.0006189414","0.01044542","0.9808265"
"adventurous","NEUTRAL","0.001097271","0.03318836","0.5797195","0.3859948"
"aggressive","NEGATIVE","0.001667747","0.8515292","0.1447912","0.002011815"
"agreeable","MIXED","0.5812281","0.02333304","0.0793654","0.3160734"
"alert","NEUTRAL","0.02662923","0.03350307","0.9199301","0.0199376"
"alive","POSITIVE","0.0168674","0.00340774","0.3126735","0.6670513"
"amused","POSITIVE","0.0144896","0.008686946","0.04152507","0.9352985"
"angry","NEGATIVE","0.000680496","0.8653435","0.133146","0.000830098"
"annoyed","NEGATIVE","6.948231E-05","0.9996145","0.0002439367","7.213072E-05"
"annoying","NEGATIVE","0.003357919","0.9959656","0.0004681721","0.0002082768"
"anxious","MIXED","0.420424","0.2473317","0.1780807","0.1541637"
"arrogant","NEGATIVE","0.0005237585","0.9912075","0.008127707","0.0001410002"
"ashamed","NEGATIVE","0.002302337","0.9969268","0.0005144622","0.0002563854"
"attractive","POSITIVE","0.00187032","0.0007992026","0.01166167","0.9856688"
"average","NEUTRAL","0.3948258","0.08680583","0.5034148","0.01495347"
"awful","NEGATIVE","0.0001012925","0.9995255","0.0002623377","0.0001108314"
"bad","MIXED","0.5009544","0.4606706","0.03213251","0.006242566"
"beautiful","POSITIVE","0.004976127","0.0008903609","0.009664122","0.9844694"
"better","NEGATIVE","0.241231","0.3647183","0.1340669","0.2599838"
"bewildered","NEGATIVE","0.003671786","0.7243454","0.234196","0.03778683"
"black","NEUTRAL","0.00845708","0.004845325","0.9741135","0.01258412"
"bloody","NEGATIVE","0.354818","0.382911","0.2358293","0.02644174"
"blue","NEUTRAL","0.0215665","0.02312328","0.9282892","0.02702097"
"blue-eyed","NEUTRAL","0.2475753","0.09699139","0.6148037","0.04062964"
"blushing","NEUTRAL","0.007626702","0.1582964","0.8116999","0.02237703"
"bored","NEGATIVE","0.009333059","0.9790179","0.01064096","0.001008133"
"brainy","NEGATIVE","0.1027732","0.7589276","0.1299549","0.008344219"
"brave","POSITIVE","0.007524928","0.02029292","0.09794474","0.8742374"
"breakable","NEGATIVE","0.01152195","0.8067928","0.174447","0.007238157"
"bright","POSITIVE","0.01764315","0.00562125","0.07899582","0.8977398"
"busy","NEUTRAL","0.08584543","0.3092841","0.5924522","0.01241821"
"calm","POSITIVE","0.05477984","0.01664405","0.4167734","0.5118026"
"careful","NEGATIVE","0.01051637","0.8245389","0.1532262","0.0117186"
"cautious","MIXED","0.5618761","0.1325647","0.1771311","0.128428"
"charming","POSITIVE","0.0006440746","0.0002692341","0.01112302","0.9879637"
"cheerful","MIXED","0.5851535","0.3612319","0.01104989","0.04256475"
"clean","POSITIVE","0.02734697","0.01322257","0.4179231","0.5415074"
"clear","NEUTRAL","0.1398239","0.06251108","0.4887442","0.3089208"
"clever","POSITIVE","0.2011623","0.01354302","0.1072142","0.6780804"
"cloudy","NEUTRAL","0.08578047","0.3178732","0.5715213","0.02482505"
"clumsy","NEGATIVE","0.3232777","0.4246477","0.2020409","0.05003369"
"colorful","POSITIVE","0.003476897","0.0005045633","0.01682162","0.9791968"
"combative","NEUTRAL","0.01335929","0.02502132","0.9355795","0.02603988"
"comfortable","POSITIVE","0.006427254","0.0006566529","0.026051","0.9668651"
"concerned","NEUTRAL","0.1766265","0.2805651","0.5182891","0.02451925"
"condemned","NEGATIVE","0.005282043","0.7122546","0.2618609","0.02060243"
"confused","NEGATIVE","0.002168855","0.9859412","0.01150211","0.0003877564"
"cooperative","NEUTRAL","0.170808","0.0278543","0.6844912","0.1168466"
"courageous","POSITIVE","0.1145789","0.04140252","0.1663368","0.6776819"
"crazy","NEUTRAL","0.00845708","0.004845325","0.9741135","0.01258412"
"creepy","NEUTRAL","0.1286064","0.06106368","0.7810504","0.02927956"
"crowded","NEUTRAL","0.0005336591","0.1418268","0.8301272","0.02751233"
"cruel","NEGATIVE","0.002268628","0.9881494","0.009150054","0.0004318196"
"curious","NEUTRAL","0.01337562","0.02755684","0.9373066","0.02176097"
"cute","POSITIVE","0.01066392","0.0009048804","0.01819931","0.9702318"
"dangerous","NEGATIVE","0.01395868","0.9538472","0.0308969","0.001297283"
"dark","NEUTRAL","0.01859904","0.04404451","0.9218437","0.01551269"
"dead","NEGATIVE","0.3410676","0.4855286","0.1660333","0.007370577"
"defeated","NEGATIVE","0.001176762","0.6473844","0.3461329","0.00530598"
"defiant","NEUTRAL","0.001779786","0.04919233","0.7561325","0.1928954"
"delightful","POSITIVE","7.989399E-05","0.0002938857","0.002927427","0.9966988"
"depressed","NEUTRAL","0.00845708","0.004845325","0.9741135","0.01258412"
"determined","NEUTRAL","0.01092455","0.01784303","0.9240019","0.04723049"
"different","NEUTRAL","0.01085258","0.09592604","0.8841062","0.009115159"
"difficult","NEGATIVE","0.004564597","0.9187604","0.06384004","0.01283498"
"disgusted","NEGATIVE","2.223088E-05","0.9994498","0.0004127258","0.0001152528"
"distinct","NEUTRAL","0.0585366","0.03147662","0.8329169","0.07706993"
"disturbed","NEGATIVE","0.0002439977","0.9343637","0.06509164","0.0003006461"
"dizzy","MIXED","0.6288351","0.1492799","0.1996507","0.02223437"
"doubtful","NEGATIVE","7.21231E-05","0.9187584","0.07884369","0.00232576"
"drab","NEGATIVE","0.006834274","0.9279459","0.06251088","0.002708968"
"dull","NEGATIVE","0.0007046789","0.9978126","0.001162766","0.0003198394"
"eager","NEUTRAL","0.02535315","0.06979684","0.7180755","0.1867745"
"easy","POSITIVE","0.2252234","0.01941131","0.1344892","0.620876"
"elated","NEUTRAL","0.0193377","0.09387375","0.8347569","0.05203161"
"elegant","POSITIVE","0.0006283832","0.000259777","0.01710983","0.982002"
"embarrassed","NEGATIVE","0.0006666843","0.9850781","0.01214689","0.002108353"
"enchanting","POSITIVE","7.034129E-05","0.0004892903","0.02178687","0.9776536"
"encouraging","POSITIVE","0.0002266851","0.01578147","0.03003724","0.9539547"
"energetic","MIXED","0.4063858","0.02669126","0.3592705","0.2076524"
"enthusiastic","POSITIVE","6.890825E-05","0.002926221","0.05126138","0.9457436"
"envious","NEUTRAL","0.0008564052","0.08913186","0.7510934","0.1589183"
"evil","MIXED","0.6007217","0.2114694","0.1315994","0.05620954"
"excited","POSITIVE","0.2376328","0.007019232","0.02459264","0.7307553"
"expensive","NEGATIVE","0.001698587","0.9945517","0.002185868","0.001563786"
"exuberant","POSITIVE","0.08104168","0.2977257","0.2066191","0.4146136"
"fair","NEUTRAL","0.328407","0.04675334","0.5066161","0.1182237"
"faithful","POSITIVE","0.001677991","0.006765105","0.411347","0.5802099"
"famous","NEUTRAL","0.2633668","0.03388489","0.5466385","0.1561097"
"fancy","NEUTRAL","0.001675045","0.02233602","0.5764098","0.3995792"
"fantastic","POSITIVE","0.001024572","0.0002761052","0.001827163","0.9968722"
"fierce","POSITIVE","0.0002905826","0.008849412","0.09997566","0.8908843"
"filthy","NEGATIVE","0.0004530255","0.7092205","0.286428","0.003898492"
"fine","NEUTRAL","0.3200868","0.04584196","0.4945641","0.1395072"
"foolish","NEGATIVE","0.001954836","0.9922627","0.005169716","0.0006127537"
"fragile","NEGATIVE","0.000181822","0.9878188","0.01163499","0.0003642955"
"frail","NEUTRAL","0.0006584428","0.01265969","0.9628351","0.02384676"
"frantic","NEUTRAL","0.191981","0.3076544","0.4145989","0.0857657"
"friendly","POSITIVE","0.1788105","0.01410009","0.2650746","0.5420149"
"frightened","NEGATIVE","0.0001218116","0.9235937","0.05811361","0.01817081"
"funny","POSITIVE","0.02223837","0.003970184","0.0878573","0.8859342"
"gentle","NEUTRAL","0.001301838","0.007500535","0.6145821","0.3766155"
"gifted","NEUTRAL","0.0003148024","0.003938561","0.7791212","0.2166255"
"glamorous","POSITIVE","0.04145878","0.02635772","0.3314218","0.6007617"
"gleaming","POSITIVE","0.1097939","0.1082826","0.3169856","0.464938"
"glorious","POSITIVE","0.001993853","0.001388428","0.003426158","0.9931915"
"good","POSITIVE","0.05843819","0.006625639","0.08619542","0.8487408"
"gorgeous","POSITIVE","0.003624293","0.0005715473","0.005814867","0.9899893"
"graceful","POSITIVE","0.01354823","0.01111946","0.0946616","0.8806707"
"grieving","NEGATIVE","0.3322609","0.43568","0.1985696","0.03348954"
"grotesque","NEGATIVE","0.0003265792","0.6872311","0.2543526","0.05808982"
"grumpy","NEGATIVE","0.001185016","0.8529528","0.1425837","0.003278446"
"handsome","POSITIVE","0.03688426","0.004660355","0.2500463","0.7084091"
"happy","POSITIVE","0.06993738","0.003594304","0.03709754","0.8893707"
"healthy","MIXED","0.4655598","0.01353229","0.2156728","0.3052351"
"helpful","POSITIVE","0.06064307","0.008227532","0.09140124","0.8397282"
"helpless","NEGATIVE","0.01469127","0.8873904","0.0915686","0.006349766"
"hilarious","POSITIVE","0.01903659","0.006004996","0.05362013","0.9213383"
"homeless","NEUTRAL","0.001036563","0.2335067","0.7620168","0.003439891"
"homely","NEUTRAL","0.07006563","0.1337947","0.7617509","0.03438869"
"horrible","NEGATIVE","0.0014735","0.9966286","0.001705847","0.00019204"
"hungry","MIXED","0.6644717","0.07078538","0.2452122","0.01953072"
"hurt","MIXED","0.509697","0.4414456","0.03926828","0.009589142"
"ill","MIXED","0.5913314","0.3371162","0.06418046","0.00737186"
"important","NEUTRAL","0.05155036","0.009938106","0.8767747","0.06173682"
"impossible","NEGATIVE","0.007706313","0.9417921","0.04551393","0.004987753"
"inexpensive","NEGATIVE","0.00130917","0.6861806","0.1170245","0.1954857"
"innocent","MIXED","0.7978192","0.07513532","0.112054","0.01499136"
"inquisitive","NEUTRAL","0.0001978873","0.2587303","0.654001","0.08707087"
"itchy","NEGATIVE","0.03918438","0.9228842","0.03475815","0.003173354"
"jealous","NEGATIVE","0.002003044","0.8936083","0.09439507","0.00999367"
"jittery","NEUTRAL","0.001380995","0.03092094","0.9601985","0.007499504"
"jolly","POSITIVE","0.155853","0.01595413","0.3390728","0.4891201"
"joyous","POSITIVE","0.00811908","0.002064514","0.04927917","0.9405373"
"kind","MIXED","0.6533554","0.04390104","0.1561679","0.1465757"
